hora,Suma de cantidad_facturas,Dia_semana
09:00,2,3
09:00,1,6
09:00,1,7
09:30,5,1
09:30,5,2
09:30,4,3
09:30,1,4
09:30,8,5
09:30,3,6
09:30,1,7
10:00,4,1
10:00,3,2
10:00,10,3
10:00,8,4
10:00,3,5
10:00,9,6
10:00,13,7
10:30,5,1
10:30,6,2
10:30,4,3
10:30,7,4
10:30,9,5
10:30,11,6
10:30,7,7
11:00,2,1
11:00,9,2
11:00,11,3
11:00,10,4
11:00,9,5
11:00,13,6
11:00,19,7
11:30,6,1
11:30,6,2
11:30,8,3
11:30,4,4
11:30,10,5
11:30,12,6
11:30,14,7
12:00,9,1
12:00,22,2
12:00,4,3
12:00,9,4
12:00,19,5
12:00,22,6
12:00,24,7
12:30,7,1
12:30,3,2
12:30,5,3
12:30,12,4
12:30,13,5
12:30,17,6
12:30,20,7
13:00,11,1
13:00,13,2
13:00,7,3
13:00,9,4
13:00,7,5
13:00,13,6
13:00,17,7
13:30,6,1
13:30,13,2
13:30,8,3
13:30,7,4
13:30,9,5
13:30,17,6
13:30,14,7
14:00,11,1
14:00,8,2
14:00,10,3
14:00,14,4
14:00,8,5
14:00,11,6
14:00,13,7
14:30,10,1
14:30,2,2
14:30,11,3
14:30,10,4
14:30,15,5
14:30,16,6
14:30,13,7
15:00,10,1
15:00,6,2
15:00,10,3
15:00,6,4
15:00,5,5
15:00,20,6
15:00,14,7
15:30,10,1
15:30,10,2
15:30,12,3
15:30,9,4
15:30,10,5
15:30,22,6
15:30,16,7
16:00,8,1
16:00,12,2
16:00,11,3
16:00,8,4
16:00,11,5
16:00,15,6
16:00,25,7
16:30,17,1
16:30,8,2
16:30,15,3
16:30,10,4
16:30,15,5
16:30,21,6
16:30,17,7
17:00,13,1
17:00,9,2
17:00,11,3
17:00,15,4
17:00,19,5
17:00,20,6
17:00,20,7
17:30,13,1
17:30,9,2
17:30,11,3
17:30,8,4
17:30,14,5
17:30,20,6
17:30,16,7
18:00,14,1
18:00,17,2
18:00,12,3
18:00,12,4
18:00,18,5
18:00,13,6
18:00,17,7
18:30,21,1
18:30,14,2
18:30,13,3
18:30,9,4
18:30,9,5
18:30,28,6
18:30,15,7
19:00,9,1
19:00,12,2
19:00,17,3
19:00,16,4
19:00,17,5
19:00,13,6
19:00,5,7
19:30,8,1
19:30,15,2
19:30,11,3
19:30,14,4
19:30,20,5
19:30,14,6
19:30,13,7
20:00,15,1
20:00,7,2
20:00,8,3
20:00,11,4
20:00,8,5
20:00,22,6
20:00,5,7
20:30,4,1
20:30,4,2
20:30,5,3
20:30,2,4
20:30,8,5
20:30,11,6
20:30,1,7
21:00,1,1
21:00,1,4
21:00,2,5
21:00,3,6
21:00,1,7
21:30,1,5
