hora,Suma de cantidad_facturas,Dia_semana
10:00,2,2
10:00,4,3
10:00,6,4
10:00,1,5
10:00,2,6
10:30,1,1
10:30,6,2
10:30,5,3
10:30,4,4
10:30,8,5
10:30,8,6
10:30,9,7
11:00,12,1
11:00,15,2
11:00,10,3
11:00,9,4
11:00,11,5
11:00,15,6
11:00,11,7
11:30,6,1
11:30,20,2
11:30,13,3
11:30,7,4
11:30,11,5
11:30,15,6
11:30,12,7
12:00,7,1
12:00,17,2
12:00,19,3
12:00,12,4
12:00,19,5
12:00,26,6
12:00,15,7
12:30,15,1
12:30,8,2
12:30,13,3
12:30,15,4
12:30,25,5
12:30,23,6
12:30,20,7
13:00,18,1
13:00,15,2
13:00,16,3
13:00,14,4
13:00,17,5
13:00,44,6
13:00,26,7
13:30,9,1
13:30,16,2
13:30,12,3
13:30,15,4
13:30,10,5
13:30,33,6
13:30,32,7
14:00,21,1
14:00,17,2
14:00,17,3
14:00,14,4
14:00,19,5
14:00,27,6
14:00,30,7
14:30,21,1
14:30,15,2
14:30,19,3
14:30,14,4
14:30,22,5
14:30,29,6
14:30,39,7
15:00,14,1
15:00,18,2
15:00,15,3
15:00,13,4
15:00,24,5
15:00,44,6
15:00,50,7
15:30,19,1
15:30,17,2
15:30,15,3
15:30,24,4
15:30,22,5
15:30,38,6
15:30,35,7
16:00,23,1
16:00,16,2
16:00,25,3
16:00,26,4
16:00,22,5
16:00,39,6
16:00,43,7
16:30,20,1
16:30,19,2
16:30,18,3
16:30,27,4
16:30,41,5
16:30,50,6
16:30,37,7
17:00,13,1
17:00,17,2
17:00,23,3
17:00,23,4
17:00,30,5
17:00,52,6
17:00,47,7
17:30,23,1
17:30,19,2
17:30,15,3
17:30,25,4
17:30,31,5
17:30,45,6
17:30,38,7
18:00,22,1
18:00,28,2
18:00,28,3
18:00,21,4
18:00,21,5
18:00,45,6
18:00,52,7
18:30,37,1
18:30,20,2
18:30,25,3
18:30,26,4
18:30,32,5
18:30,38,6
18:30,40,7
19:00,36,1
19:00,30,2
19:00,22,3
19:00,31,4
19:00,37,5
19:00,52,6
19:00,48,7
19:30,29,1
19:30,17,2
19:30,32,3
19:30,25,4
19:30,30,5
19:30,28,6
19:30,29,7
20:00,16,1
20:00,18,2
20:00,21,3
20:00,27,4
20:00,33,5
20:00,38,6
20:00,29,7
20:30,11,1
20:30,26,2
20:30,23,3
20:30,19,4
20:30,16,5
20:30,39,6
20:30,6,7
21:00,6,1
21:00,6,2
21:00,2,3
21:00,6,4
21:00,19,5
21:00,20,6
21:00,3,7
21:30,2,1
21:30,3,2
21:30,4,3
21:30,7,5
21:30,1,6
22:00,2,5
22:00,4,6
22:30,1,6
