hora,Suma de cantidad_facturas,Dia_semana
09:30,7,6
10:00,1,1
10:00,1,5
10:00,7,6
10:30,2,1
10:30,3,2
10:30,6,3
10:30,5,4
10:30,6,5
10:30,13,6
10:30,7,7
11:00,7,1
11:00,6,2
11:00,6,3
11:00,8,4
11:00,12,5
11:00,18,6
11:00,6,7
11:30,7,1
11:30,15,2
11:30,17,3
11:30,6,4
11:30,15,5
11:30,11,6
11:30,20,7
12:00,4,1
12:00,7,2
12:00,11,3
12:00,11,4
12:00,17,5
12:00,17,6
12:00,16,7
12:30,14,1
12:30,6,2
12:30,7,3
12:30,9,4
12:30,11,5
12:30,22,6
12:30,19,7
13:00,6,1
13:00,13,2
13:00,2,3
13:00,14,4
13:00,14,5
13:00,15,6
13:00,20,7
13:30,8,1
13:30,6,2
13:30,9,3
13:30,3,4
13:30,13,5
13:30,27,6
13:30,19,7
14:00,4,1
14:00,7,2
14:00,6,3
14:00,11,4
14:00,8,5
14:00,16,6
14:00,21,7
14:30,9,1
14:30,7,2
14:30,10,3
14:30,5,4
14:30,8,5
14:30,28,6
14:30,13,7
15:00,7,1
15:00,16,2
15:00,6,3
15:00,14,4
15:00,16,5
15:00,30,6
15:00,22,7
15:30,18,1
15:30,8,2
15:30,12,3
15:30,12,4
15:30,16,5
15:30,30,6
15:30,31,7
16:00,14,1
16:00,14,2
16:00,12,3
16:00,15,4
16:00,32,5
16:00,27,6
16:00,26,7
16:30,10,1
16:30,17,2
16:30,18,3
16:30,16,4
16:30,26,5
16:30,43,6
16:30,34,7
17:00,15,1
17:00,14,2
17:00,16,3
17:00,30,4
17:00,10,5
17:00,42,6
17:00,35,7
17:30,15,1
17:30,23,2
17:30,26,3
17:30,28,4
17:30,25,5
17:30,43,6
17:30,29,7
18:00,18,1
18:00,18,2
18:00,15,3
18:00,24,4
18:00,26,5
18:00,43,6
18:00,36,7
18:30,24,1
18:30,16,2
18:30,19,3
18:30,20,4
18:30,25,5
18:30,42,6
18:30,41,7
19:00,24,1
19:00,17,2
19:00,14,3
19:00,17,4
19:00,23,5
19:00,30,6
19:00,38,7
19:30,18,1
19:30,15,2
19:30,20,3
19:30,26,4
19:30,32,5
19:30,38,6
19:30,35,7
20:00,8,1
20:00,14,2
20:00,20,3
20:00,19,4
20:00,30,5
20:00,29,6
20:00,27,7
20:30,6,1
20:30,14,2
20:30,17,3
20:30,20,4
20:30,19,5
20:30,30,6
20:30,24,7
21:00,7,1
21:00,4,2
21:00,3,3
21:00,8,4
21:00,10,5
21:00,14,6
21:00,5,7
21:30,1,1
21:30,1,2
21:30,2,3
21:30,3,4
21:30,3,5
21:30,7,6
21:30,1,7
22:00,1,5
22:00,2,6
22:30,1,5
