hora,Suma de cantidad_facturas,Dia_semana
09:30,1,2
10:00,3,1
10:00,4,2
10:00,4,3
10:00,7,5
10:00,4,6
10:30,3,1
10:30,6,2
10:30,7,3
10:30,2,4
10:30,5,5
10:30,10,6
11:00,2,1
11:00,11,2
11:00,11,3
11:00,7,4
11:00,7,5
11:00,8,6
11:00,4,7
11:30,7,1
11:30,5,2
11:30,10,3
11:30,10,4
11:30,9,5
11:30,13,6
11:30,9,7
12:00,9,1
12:00,5,2
12:00,3,3
12:00,7,4
12:00,6,5
12:00,16,6
12:00,11,7
12:30,8,1
12:30,9,2
12:30,9,3
12:30,13,4
12:30,14,5
12:30,18,6
12:30,11,7
13:00,8,1
13:00,8,2
13:00,7,3
13:00,15,4
13:00,10,5
13:00,10,6
13:00,13,7
13:30,9,1
13:30,6,2
13:30,11,3
13:30,8,4
13:30,7,5
13:30,22,6
13:30,12,7
14:00,5,1
14:00,4,2
14:00,10,3
14:00,9,4
14:00,7,5
14:00,15,6
14:00,23,7
14:30,6,1
14:30,11,2
14:30,8,3
14:30,6,4
14:30,9,5
14:30,16,6
14:30,21,7
15:00,10,1
15:00,9,2
15:00,9,3
15:00,7,4
15:00,14,5
15:00,16,6
15:00,14,7
15:30,12,1
15:30,14,2
15:30,9,3
15:30,20,4
15:30,14,5
15:30,21,6
15:30,18,7
16:00,11,1
16:00,12,2
16:00,13,3
16:00,12,4
16:00,6,5
16:00,21,6
16:00,18,7
16:30,9,1
16:30,11,2
16:30,14,3
16:30,12,4
16:30,18,5
16:30,25,6
16:30,25,7
17:00,5,1
17:00,11,2
17:00,18,3
17:00,19,4
17:00,16,5
17:00,21,6
17:00,20,7
17:30,7,1
17:30,9,2
17:30,16,3
17:30,19,4
17:30,13,5
17:30,29,6
17:30,19,7
18:00,7,1
18:00,9,2
18:00,16,3
18:00,11,4
18:00,17,5
18:00,18,6
18:00,18,7
18:30,10,1
18:30,17,2
18:30,14,3
18:30,13,4
18:30,17,5
18:30,14,6
18:30,18,7
19:00,11,1
19:00,10,2
19:00,16,3
19:00,15,4
19:00,17,5
19:00,19,6
19:00,10,7
19:30,19,1
19:30,9,2
19:30,11,3
19:30,21,4
19:30,18,5
19:30,23,6
19:30,19,7
20:00,7,1
20:00,8,2
20:00,16,3
20:00,12,4
20:00,20,5
20:00,19,6
20:00,6,7
20:30,6,1
20:30,10,2
20:30,3,3
20:30,4,4
20:30,7,5
20:30,14,6
20:30,2,7
21:00,1,1
21:00,1,2
21:00,2,3
21:00,7,5
21:00,5,6
21:30,1,3
21:30,3,6
