hora,Suma de cantidad_facturas,Dia_semana
09:30,2,3
09:30,2,7
10:00,3,1
10:00,4,2
10:00,7,3
10:00,3,4
10:00,3,5
10:00,5,6
10:00,3,7
10:30,5,1
10:30,6,2
10:30,4,3
10:30,5,4
10:30,10,5
10:30,12,6
10:30,14,7
11:00,4,1
11:00,12,2
11:00,7,3
11:00,7,4
11:00,5,5
11:00,14,6
11:00,13,7
11:30,11,1
11:30,4,2
11:30,8,3
11:30,8,4
11:30,16,5
11:30,26,6
11:30,10,7
12:00,7,1
12:00,3,2
12:00,8,3
12:00,7,4
12:00,10,5
12:00,16,6
12:00,9,7
12:30,6,1
12:30,6,2
12:30,10,3
12:30,6,4
12:30,7,5
12:30,20,6
12:30,13,7
13:00,7,1
13:00,6,2
13:00,9,3
13:00,7,4
13:00,12,5
13:00,14,6
13:00,9,7
13:30,7,1
13:30,2,2
13:30,6,3
13:30,7,4
13:30,10,5
13:30,23,6
13:30,5,7
14:00,8,1
14:00,7,2
14:00,6,3
14:00,9,4
14:00,7,5
14:00,15,6
14:00,13,7
14:30,4,1
14:30,7,2
14:30,4,3
14:30,7,4
14:30,7,5
14:30,13,6
14:30,10,7
15:00,8,1
15:00,2,2
15:00,13,3
15:00,12,4
15:00,8,5
15:00,14,6
15:00,17,7
15:30,12,1
15:30,8,2
15:30,11,3
15:30,13,4
15:30,14,5
15:30,26,6
15:30,18,7
16:00,7,1
16:00,9,2
16:00,12,3
16:00,13,4
16:00,17,5
16:00,27,6
16:00,23,7
16:30,7,1
16:30,12,2
16:30,6,3
16:30,13,4
16:30,9,5
16:30,15,6
16:30,14,7
17:00,14,1
17:00,16,2
17:00,12,3
17:00,15,4
17:00,22,5
17:00,23,6
17:00,26,7
17:30,17,1
17:30,10,2
17:30,14,3
17:30,16,4
17:30,23,5
17:30,31,6
17:30,13,7
18:00,17,1
18:00,7,2
18:00,17,3
18:00,18,4
18:00,17,5
18:00,30,6
18:00,25,7
18:30,17,1
18:30,17,2
18:30,19,3
18:30,23,4
18:30,31,5
18:30,21,6
18:30,23,7
19:00,11,1
19:00,11,2
19:00,16,3
19:00,12,4
19:00,32,5
19:00,23,6
19:00,20,7
19:30,5,1
19:30,7,2
19:30,10,3
19:30,18,4
19:30,17,5
19:30,21,6
19:30,16,7
20:00,11,1
20:00,6,2
20:00,14,3
20:00,9,4
20:00,20,5
20:00,18,6
20:00,22,7
20:30,5,1
20:30,9,2
20:30,5,3
20:30,16,4
20:30,14,5
20:30,12,6
20:30,4,7
21:00,4,1
21:00,5,2
21:00,2,3
21:00,6,4
21:00,5,5
21:00,9,6
21:30,1,5
21:30,3,6
