hora,Suma de cantidad_facturas,Dia_semana
09:00,2,6
09:30,1,7
10:00,2,2
10:00,3,3
10:00,4,4
10:00,3,5
10:00,6,6
10:30,7,1
10:30,6,2
10:30,6,3
10:30,5,4
10:30,8,5
10:30,16,6
10:30,1,7
11:00,6,1
11:00,5,2
11:00,6,3
11:00,6,4
11:00,16,5
11:00,19,6
11:00,12,7
11:30,8,1
11:30,9,2
11:30,9,3
11:30,10,4
11:30,7,5
11:30,10,6
11:30,5,7
12:00,7,1
12:00,9,2
12:00,10,3
12:00,9,4
12:00,7,5
12:00,23,6
12:00,18,7
12:30,14,1
12:30,4,2
12:30,9,3
12:30,8,4
12:30,13,5
12:30,20,6
12:30,13,7
13:00,8,1
13:00,10,2
13:00,5,3
13:00,12,4
13:00,16,5
13:00,23,6
13:00,19,7
13:30,7,1
13:30,8,2
13:30,9,3
13:30,10,4
13:30,14,5
13:30,15,6
13:30,15,7
14:00,10,1
14:00,9,2
14:00,12,3
14:00,6,4
14:00,9,5
14:00,17,6
14:00,11,7
14:30,11,1
14:30,7,2
14:30,12,3
14:30,11,4
14:30,11,5
14:30,28,6
14:30,13,7
15:00,8,1
15:00,15,2
15:00,17,3
15:00,8,4
15:00,7,5
15:00,31,6
15:00,23,7
15:30,7,1
15:30,16,2
15:30,15,3
15:30,16,4
15:30,20,5
15:30,33,6
15:30,29,7
16:00,17,1
16:00,21,2
16:00,9,3
16:00,19,4
16:00,22,5
16:00,39,6
16:00,36,7
16:30,16,1
16:30,12,2
16:30,23,3
16:30,22,4
16:30,30,5
16:30,42,6
16:30,30,7
17:00,22,1
17:00,20,2
17:00,15,3
17:00,32,4
17:00,27,5
17:00,27,6
17:00,23,7
17:30,23,1
17:30,17,2
17:30,22,3
17:30,23,4
17:30,20,5
17:30,38,6
17:30,22,7
18:00,18,1
18:00,13,2
18:00,15,3
18:00,14,4
18:00,26,5
18:00,34,6
18:00,32,7
18:30,26,1
18:30,15,2
18:30,23,3
18:30,17,4
18:30,25,5
18:30,29,6
18:30,29,7
19:00,15,1
19:00,18,2
19:00,22,3
19:00,23,4
19:00,27,5
19:00,38,6
19:00,20,7
19:30,22,1
19:30,9,2
19:30,24,3
19:30,24,4
19:30,25,5
19:30,36,6
19:30,18,7
20:00,20,1
20:00,21,2
20:00,19,3
20:00,27,4
20:00,33,5
20:00,25,6
20:00,10,7
20:30,19,1
20:30,15,2
20:30,13,3
20:30,17,4
20:30,17,5
20:30,21,6
20:30,1,7
21:00,3,1
21:00,3,2
21:00,5,3
21:00,8,4
21:00,12,5
21:00,19,6
21:30,1,2
21:30,4,5
21:30,6,6
22:00,1,5
